fund_name,Company,company_geography,sector_level_3,record_date,nav_at_rd,investment_date,at_entry_ev,at_entry_ebidta,at_rd_ev,at_rd_ebidta
Fund III,Company 5,United States of America,Chemicals,31/12/2022,187.4564947,01/05/2021,274.78,29.15,558.84,60.6
Fund III,Company 5,United States of America,Chemicals,30/09/2022,134.0322805,01/05/2021,274.78,29.15,427.44,42.72
Fund III,Company 5,United States of America,Chemicals,30/06/2022,128.5691383,01/05/2021,274.78,29.15,423.6,44.28
Fund III,Company 5,United States of America,Chemicals,31/03/2022,109.25,01/05/2021,274.78,29.15,314.04,31.2
Fund III,Company 5,United States of America,Chemicals,31/12/2021,109.25,01/05/2021,274.78,29.15,306.36,31.2
Fund III,Company 5,United States of America,Chemicals,30/09/2021,109.25,01/05/2021,274.78,29.15,305.392998,32.64
Fund III,Company 5,United States of America,Chemicals,30/06/2021,109.25,01/05/2021,274.78,29.15,302.752998,32.16
Fund III,Company 6,Germany,Chemicals,30/09/2023,177.0606514,01/07/2022,399.85,51.81,420.6,52.8
Fund III,Company 6,Germany,Chemicals,30/06/2023,172.3764712,01/07/2022,399.85,51.81,414.84,52.08
Fund III,Company 6,Germany,Chemicals,31/03/2023,172.6390407,01/07/2022,399.85,51.81,431.4,52.8
Fund III,Company 6,Germany,Chemicals,31/12/2022,180.7897823,01/07/2022,0,51.81,451.56,56.88
Fund III,Company 6,Germany,Chemicals,30/09/2022,167.6461713,01/07/2022,0,51.81,456.936,57.84
Fund III,Company 7,United States of America,"Electronic Equipment, Instruments & Components",30/09/2023,213.9806971,31/05/2022,734.14,83.71,881.16,87.84
Fund III,Company 7,United States of America,"Electronic Equipment, Instruments & Components",31/12/2022,213.75,31/05/2022,274.78,113.96,816.12,90.36
Fund III,Company 7,United States of America,"Electronic Equipment, Instruments & Components",30/09/2022,213.75,31/05/2022,274.78,113.96,793.08,91.68
Fund III,Company 7,United States of America,"Electronic Equipment, Instruments & Components",30/06/2022,213.75,31/05/2022,734.14,83.71,800.88,88.44
Fund III,Company 8,United States of America,Beverages,30/09/2023,764.4369256,01/03/2021,4894.45,589.93,8159.04,884.28
Fund III,Company 8,United States of America,Beverages,30/06/2023,580.9459133,01/03/2021,4894.45,589.93,7269.36,805.44
Fund III,Company 8,United States of America,Beverages,31/03/2023,469.5524768,01/03/2021,4894.45,589.93,6671.16,741.96
Fund III,Company 8,United States of America,Beverages,31/12/2022,401.7093307,01/03/2021,4894.45,589.93,6312.12,677.04
Fund III,Company 8,United States of America,Beverages,30/09/2022,333.7739386,01/03/2021,4894.45,589.93,5967.96,645.48
Fund III,Company 8,United States of America,Beverages,30/06/2022,328.2957978,01/03/2021,4894.45,589.93,5753.16,640.32
Fund III,Company 8,United States of America,Beverages,31/03/2022,386.5563338,01/03/2021,4894.45,589.93,6074.04,701.04
Fund III,Company 8,United States of America,Beverages,31/12/2021,384.56,01/03/2021,4730,589.93,6040.8,713.16
Fund III,Company 8,United States of America,Beverages,30/09/2021,270.75,01/03/2021,4730,589.93,4816.330435,722.04
Fund III,Company 8,United States of America,Beverages,30/06/2021,270.75,01/03/2021,4730,589.93,4944.69704,643.56
Fund III,Company 8,United States of America,Beverages,31/03/2021,287.375,01/03/2021,4730,589.93,5432.762691,643.56
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,30/09/2023,495.9,03/09/2020,563.2,70.4,1283.020813,172.8
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,30/06/2023,528.2,03/09/2020,563.2,70.4,1318.732832,181.2
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,31/03/2023,518.7,03/09/2020,563.2,70.4,1284.169187,205.2
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,31/12/2022,506.35,03/09/2020,563.2,70.4,1246.592181,296.4
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,30/09/2022,551.95,03/09/2020,563.2,70.4,1278.576704,280.8
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,30/06/2022,534.85,03/09/2020,563.2,70.4,1292.844875,160.8
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,31/03/2022,508.25,03/09/2020,563.2,70.4,1138.676468,123.6
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,31/12/2021,414.2,03/09/2020,549.45,70.4,923.3740608,129.6
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,30/09/2021,386.65,03/09/2020,549.45,70.4,897.0156944,109.2
Fund IV,Company 9,United Kingdom,Health Care Providers & Services,30/06/2021,346.75,03/09/2020,549.45,70.4,835.6880519,100.8
Fund IV,Company 10,United States of America,Software,30/09/2023,451.25,01/04/2022,990,29.7,1263.155556,50.4
Fund IV,Company 10,United States of America,Software,30/06/2023,428.45,01/04/2022,990,29.7,1225.132075,50.4
Fund IV,Company 10,United States of America,Software,31/03/2023,406.6,01/04/2022,990,29.7,1164.711111,50.4
Fund IV,Company 10,United States of America,Software,31/12/2022,430.35,01/04/2022,990,29.7,1215.466667,46.8
Fund IV,Company 10,United States of America,Software,30/09/2022,399.95,01/04/2022,990,29.7,1150.355556,39.6
Fund IV,Company 10,United States of America,Software,30/06/2022,374.3,01/04/2022,990,47.14285714,1084.355556,39.6
Fund IV,Company 11,United States of America,Media,30/09/2023,611.8,03/06/2020,854.70044,106.7,1274.726208,100.8
Fund IV,Company 11,United States of America,Media,30/06/2023,570.95,03/06/2020,854.70044,106.7,1083.348,271.2
Fund IV,Company 11,United States of America,Media,31/03/2023,535.8,03/06/2020,854.70044,106.7,1039.0656,272.4
Fund IV,Company 11,United States of America,Media,31/12/2022,489.25,03/06/2020,854.70044,106.7,1029.79224,288
Fund IV,Company 11,United States of America,Media,30/09/2022,475,03/06/2020,854.70044,106.7,983.92728,319.2
Fund IV,Company 11,United States of America,Media,30/06/2022,554.8,03/06/2020,854.70044,106.7,1205.19492,150
Fund IV,Company 11,United States of America,Media,31/03/2022,491.15,03/06/2020,854.70044,106.7,1202.71704,123.6
Fund IV,Company 11,United States of America,Media,31/12/2021,568.1,03/06/2020,854.70044,101.2,1200.37932,55.2
Fund IV,Company 11,United States of America,Media,31/03/2021,582.35,03/06/2020,861.3,106.7,3954,55.2
Fund IV,Company 11,United States of America,Media,31/12/2020,377.15,03/06/2020,861.3,92.4,1419.207921,62.4
Fund IV,Company 11,United States of America,Media,30/09/2020,377.15,03/06/2020,861.3,92.4,1419.207921,62.4
Fund IV,Company 12,United States of America,IT Services,30/06/2023,424.65,01/12/2021,660,47.3,1137.387342,88.8
Fund IV,Company 13,United States of America,Construction & Engineering,31/12/2021,285,01/12/2021,660,47.3,791.8909091,62.4
Fund IV,Company 14,United Kingdom,Health Care Providers & Services,31/03/2021,340.1,03/09/2020,549.45,70.4,752.4783251,90
Fund IV,Company 14,United Kingdom,Health Care Providers & Services,31/12/2020,219.45,03/09/2020,549.45,70.4,553.7417894,73.2
Fund IV,Company 14,United Kingdom,Health Care Providers & Services,30/09/2020,219.45,03/09/2020,549.45,70.4,553.7417894,73.2
Fund IV,Company 15,United States of America,Software,30/09/2023,874.95,01/03/2021,3905,176,5589,273.6
Fund IV,Company 15,United States of America,Software,30/06/2023,865.45,01/03/2021,3905,176,5692.6,273.6
Fund IV,Company 15,United States of America,Software,31/03/2023,860.7,01/03/2021,3905,176,5566.8,283.2
Fund IV,Company 15,United States of America,Software,31/12/2022,828.4,01/03/2021,3905,176,5243.2,301.2
Fund IV,Company 15,United States of America,Software,30/09/2022,821.75,01/03/2021,3905,176,5261,304.8
Fund IV,Company 15,United States of America,Software,30/06/2022,781.85,01/03/2021,3905,176,5181.8,284.4
Fund IV,Company 15,United States of America,Software,31/03/2022,799.9,01/03/2021,0,0,5198.8,272.4
Fund IV,Company 15,United States of America,Software,31/12/2021,767.6,01/03/2021,3905,176,4929.2,260.4
Fund IV,Company 15,United States of America,Software,30/09/2021,712.5,01/03/2021,3905,176,4688.4,265.2
Fund IV,Company 15,United States of America,Software,30/06/2021,617.5,01/03/2021,3905,176,4266.4,258
Fund IV,Company 15,United States of America,Software,31/03/2021,617.5,01/03/2021,3960,176,4249.6,232.8
Fund IV,Company 16,United States of America,Health Care Providers & Services,30/09/2023,764.75,01/07/2021,1430,83.6,2110.655422,156
Fund IV,Company 16,United States of America,Health Care Providers & Services,30/06/2023,764.75,01/07/2021,1430,83.6,2101.055422,156
Fund IV,Company 16,United States of America,Health Care Providers & Services,31/03/2023,764.75,01/07/2021,1430,83.6,2069.855422,147.6
Fund IV,Company 16,United States of America,Health Care Providers & Services,31/12/2022,749.55,01/07/2021,1430,83.6,2013.122892,157.2
Fund IV,Company 16,United States of America,Health Care Providers & Services,30/09/2022,758.1,01/07/2021,1430,83.6,1994.93494,152.4
Fund IV,Company 16,United States of America,Health Care Providers & Services,30/06/2022,749.55,01/07/2021,1430,83.6,1834.83956,141.6
Fund IV,Company 16,United States of America,Health Care Providers & Services,31/03/2022,720.1,01/07/2021,1430,83.6,1760.36044,145.2
Fund IV,Company 16,United States of America,Health Care Providers & Services,31/12/2021,636.5,01/07/2021,1430,83.6,1601.316129,135.6
Fund IV,Company 16,United States of America,Health Care Providers & Services,30/09/2021,636.5,01/07/2021,1430,83.6,1565.316129,112.8
Fund IV,Company 17,United States of America,Insurance,30/09/2023,1202.7,16/11/2020,2915,211.2,5801.765854,357.6
Fund IV,Company 17,United States of America,Insurance,30/06/2023,1147.6,16/11/2020,2915,211.2,5484.228571,344.4
Fund IV,Company 17,United States of America,Insurance,31/03/2023,1043.1,16/11/2020,2915,211.2,4976.986047,342
Fund IV,Company 17,United States of America,Insurance,31/12/2022,1073.5,16/11/2020,2915,211.2,4915.088372,338.4
Fund IV,Company 17,United States of America,Insurance,30/09/2022,963.3,16/11/2020,2915,211.2,4567.367442,330
Fund IV,Company 17,United States of America,Insurance,30/06/2022,850.25,16/11/2020,2915,211.2,4081.309091,290.4
Fund IV,Company 17,United States of America,Insurance,31/03/2022,854.05,16/11/2020,2915,211.2,4099.418182,280.8
Fund IV,Company 17,United States of America,Insurance,31/12/2021,838.85,16/11/2020,2915,211.2,3953.066667,272.4
Fund IV,Company 17,United States of America,Insurance,30/09/2021,777.1,16/11/2020,2915,211.2,3607.513043,252
Fund IV,Company 17,United States of America,Insurance,30/06/2021,748.6,16/11/2020,2915,211.2,3471.114894,250.8
Fund IV,Company 17,United States of America,Insurance,31/03/2021,690.65,16/11/2020,2915,211.2,3246.970213,237.6
Fund IV,Company 18,Netherlands,Diversified Consumer Services,30/06/2022,346.75,01/11/2018,257.4,24.2,1260,97.2
Fund IV,Company 18,Netherlands,Diversified Consumer Services,31/03/2022,336.3,01/11/2018,257.4,24.2,1260,97.2
Fund IV,Company 18,Netherlands,Diversified Consumer Services,31/12/2021,294.5,01/11/2018,270.6,24.2,975.3151619,93.6
Fund IV,Company 18,Netherlands,Diversified Consumer Services,30/09/2021,233.7,01/11/2018,257.4,24.2,819.1494511,88.8
Fund IV,Company 18,Netherlands,Diversified Consumer Services,30/06/2021,200.45,01/11/2018,257.4,24.2,741.3815129,85.2
Fund IV,Company 18,Netherlands,Diversified Consumer Services,31/03/2021,189.05,01/11/2018,270.6,24.2,615.2933813,68.4
Fund IV,Company 18,Netherlands,Diversified Consumer Services,31/12/2020,151.05,01/11/2018,270.6,24.2,507.3155627,62.4
Fund IV,Company 18,Netherlands,Diversified Consumer Services,30/09/2020,151.05,01/11/2018,270.6,24.2,507.3155627,62.4
Fund IV,Company 18,Netherlands,Diversified Consumer Services,30/09/2019,118.75,01/11/2018,270.6,24.2,341.8716525,34.8
Fund IV,Company 19,United States of America,Commercial Services & Supplies,30/06/2023,240.35,01/03/2022,808.5,69.3,671.490411,45.6
Fund IV,Company 20,United Kingdom,Media,30/09/2023,529.15,01/02/2022,693,50.6,1056.142231,88.8
Fund IV,Company 20,United Kingdom,Media,30/06/2023,521.55,01/02/2022,693,50.6,1052.47382,84
Fund IV,Company 20,United Kingdom,Media,31/03/2023,378.1,01/02/2022,693,50.6,885.2861966,81.6
Fund IV,Company 20,United Kingdom,Media,31/12/2022,356.25,01/02/2022,693,50.6,822.2985819,75.6
Fund IV,Company 20,United Kingdom,Media,30/09/2022,319.2,01/02/2022,693,50.6,813.1068772,74.4
Fund IV,Company 20,United Kingdom,Media,30/06/2022,322.05,01/02/2022,693,57.2,799.3251792,69.6
Fund IV,Company 20,United Kingdom,Media,31/03/2022,328.7,01/02/2022,693,57.2,716.7980342,64.8
Fund IV,Company 21,United States of America,Consumer Finance,30/09/2023,599.45,01/09/2021,3355,173.8,4223.834483,220.8
Fund IV,Company 21,United States of America,Consumer Finance,30/06/2023,552.9,01/09/2021,3355,173.8,3947.875862,217.2
Fund IV,Company 21,United States of America,Consumer Finance,31/03/2023,540.55,01/09/2021,3355,173.8,3818.482759,198
Fund IV,Company 21,United States of America,Consumer Finance,31/12/2022,514.9,01/09/2021,3355,173.8,3645.558621,190.8
Fund IV,Company 21,United States of America,Consumer Finance,30/09/2022,483.55,01/09/2021,3355,173.8,3557.6,198
Fund IV,Company 21,United States of America,Consumer Finance,30/06/2022,528.2,01/09/2021,3355,173.8,3760,204
Fund IV,Company 21,United States of America,Consumer Finance,31/03/2022,593.75,01/09/2021,3355,173.8,3572.8,188.4
Fund IV,Company 21,United States of America,Consumer Finance,31/12/2021,593.75,01/09/2021,3355,168.3,3547.6,188.4
Fund IV,Company 21,United States of America,Consumer Finance,30/09/2021,593.75,01/09/2021,3355,173.8,3422.8,189.6
Fund IV,Company 22,Canada,Aerospace & Defense,30/09/2023,971.85,01/12/2019,5071,1148.4,7582.695349,1083.6
Fund IV,Company 22,Canada,Aerospace & Defense,30/06/2023,995.6,01/12/2019,5071,1148.4,7624.825807,937.2
Fund IV,Company 22,Canada,Aerospace & Defense,31/03/2023,908.2,01/12/2019,5071,1148.4,6855.98506,616.8
Fund IV,Company 22,Canada,Aerospace & Defense,31/12/2022,912,01/12/2019,5071,1148.4,4386.219831,199.2
Fund IV,Company 22,Canada,Aerospace & Defense,30/09/2022,931.95,01/12/2019,5071,1144,4401.308689,146.4
Fund IV,Company 22,Canada,Aerospace & Defense,31/12/2020,744.8,01/12/2019,5500,1144,4281.994322,309.6
Fund IV,Company 22,Canada,Aerospace & Defense,30/09/2020,744.8,01/12/2019,5500,1144,4281.994322,309.6
Fund II,Company 23,United States of America,Health Care Providers & Services,31/12/2021,130.3367197,01/05/2017,137.5,13.31,450,29.88
Fund II,Company 23,United States of America,Health Care Providers & Services,30/09/2021,86.46902755,01/05/2017,137.5,13.31,321.96,30.48
Fund II,Company 23,United States of America,Health Care Providers & Services,30/06/2021,86.46902755,01/05/2017,137.5,13.31,322.32,30.72
Fund II,Company 23,United States of America,Health Care Providers & Services,31/03/2021,83.125,01/05/2017,137.5,13.31,313.8,30
Fund II,Company 23,United States of America,Health Care Providers & Services,31/12/2020,75.335,01/05/2017,137.5,13.31,294.12,28.08
Fund II,Company 23,United States of America,Health Care Providers & Services,30/09/2020,82.65,01/05/2017,137.5,13.31,275.28,26.28
Fund II,Company 23,United States of America,Health Care Providers & Services,30/09/2019,92.245,01/05/2017,137.5,13.31,308.28,25.32
Fund II,Company 23,United States of America,Health Care Providers & Services,30/09/2018,59.375,01/05/2017,137.5,13.31,228.48,20.76
Fund II,Company 24,United States of America,Health Care Providers & Services,30/09/2019,25.65,01/11/2015,93.5,11.44,56.52,6
Fund II,Company 25,United States of America,Health Care Providers & Services,31/12/2022,147.2427838,01/01/2018,124.08,13.09,848.4,72.7368
Fund II,Company 25,United States of America,Health Care Providers & Services,30/09/2022,170.4158507,01/01/2018,124.08,13.09,923.88,66.36
Fund II,Company 25,United States of America,Health Care Providers & Services,30/06/2022,168.9310653,01/01/2018,124.08,13.09,905.88,68.04
Fund II,Company 25,United States of America,Health Care Providers & Services,31/03/2022,154.2480971,01/01/2018,124.08,13.09,870,68.28
Fund II,Company 25,United States of America,Health Care Providers & Services,31/12/2021,150.5022813,01/01/2018,124.08,13.09,826.8,61.2
Fund II,Company 25,United States of America,Health Care Providers & Services,30/09/2021,136.1075374,01/01/2018,124.08,13.09,782.04,62.52
Fund II,Company 25,United States of America,Health Care Providers & Services,30/06/2021,104.3864351,01/01/2018,124.08,13.09,407.52,37.08
Fund II,Company 25,United States of America,Health Care Providers & Services,31/03/2021,75.05,01/01/2018,124.08,13.09,240.48,25.32
Fund II,Company 25,United States of America,Health Care Providers & Services,31/12/2020,71.44,01/01/2018,124.08,13.09,221.88,24.6
Fund II,Company 25,United States of America,Health Care Providers & Services,30/09/2020,58.33,01/01/2018,124.08,13.09,195.48,21.6
Fund II,Company 25,United States of America,Health Care Providers & Services,30/09/2019,40.09,01/01/2018,124.08,13.09,134.16,12.36
Fund II,Company 25,United States of America,Health Care Providers & Services,30/09/2018,36.48,01/01/2018,124.08,13.09,134.16,13.56
Fund II,Company 26,United States of America,Health Care Providers & Services,31/12/2022,29.081438,01/02/2019,129.25,12.54,423.96,38.64
Fund II,Company 26,United States of America,Health Care Providers & Services,30/09/2022,29.081438,01/02/2019,129.25,12.54,447.72,34.08
Fund II,Company 26,United States of America,Health Care Providers & Services,30/06/2022,29.081438,01/02/2019,129.25,12.54,450.6,34.56
Fund II,Company 26,United States of America,Health Care Providers & Services,31/03/2022,37.91299045,01/02/2019,129.25,12.54,511.56,37.7508
Fund II,Company 26,United States of America,Health Care Providers & Services,31/12/2021,37.91299045,01/02/2019,129.25,12.32,500.4,37.1039064
Fund II,Company 26,United States of America,Health Care Providers & Services,30/09/2021,37.91299045,01/02/2019,129.25,12.32,522.48,46.44
Fund II,Company 26,United States of America,Health Care Providers & Services,30/06/2021,37.91299045,01/02/2019,129.25,12.32,518.52,49.8
Fund II,Company 26,United States of America,Health Care Providers & Services,31/03/2021,52.155,01/02/2019,129.25,12.32,516.12,51.6
Fund II,Company 26,United States of America,Health Care Providers & Services,31/12/2020,48.45,01/02/2019,129.25,12.32,480,44.88
Fund II,Company 26,United States of America,Health Care Providers & Services,30/09/2020,36.67,01/02/2019,129.25,12.32,347.28,30.12
Fund II,Company 26,United States of America,Health Care Providers & Services,30/09/2019,16.815,01/02/2019,129.25,12.32,160.68,16.32
Fund II,Company 27,United States of America,Health Care Providers & Services,31/12/2022,39.9,09/12/2021,269.5,16.5,295.68,22.68
Fund II,Company 27,United States of America,Health Care Providers & Services,30/09/2022,39.9,09/12/2021,269.5,16.5,296.28,21.12
Fund II,Company 27,United States of America,Health Care Providers & Services,30/06/2022,39.9,09/12/2021,269.5,16.5,298.44,20.16
Fund II,Company 27,United States of America,Health Care Providers & Services,31/03/2022,39.9,09/12/2021,269.5,16.5,297.24,18.6396
Fund II,Company 27,United States of America,Health Care Providers & Services,31/12/2021,39.9,09/12/2021,269.5,16.5,294.48,18.36
Fund II,Company 28,United States of America,Health Care Providers & Services,30/09/2023,12.6400141,01/01/2014,302.5,32.45,1020,139.44
Fund II,Company 28,United States of America,Health Care Providers & Services,30/06/2023,12.825,01/01/2014,302.5,32.45,1020,139.44
Fund II,Company 28,United States of America,Health Care Providers & Services,31/03/2023,21.28,01/01/2014,302.5,32.45,1020,139.44
Fund II,Company 28,United States of America,Health Care Providers & Services,31/12/2022,67.62243545,01/01/2014,302.5,32.45,1020,139.44
Fund II,Company 28,United States of America,Health Care Providers & Services,30/09/2022,77.95477985,01/01/2014,302.5,32.45,1020,139.08
Fund II,Company 28,United States of America,Health Care Providers & Services,30/06/2022,79.9258959,01/01/2014,302.5,32.45,1138.56,131.4
Fund II,Company 28,United States of America,Health Care Providers & Services,31/03/2022,78.61078335,01/01/2014,302.5,32.45,1129.44,118.56
Fund II,Company 28,United States of America,Health Care Providers & Services,31/12/2021,78.61078335,01/01/2014,302.5,32.45,1158.36,123
Fund II,Company 28,United States of America,Health Care Providers & Services,30/09/2021,118.6635681,01/01/2014,302.5,32.45,1155.48,122.52
Fund II,Company 28,United States of America,Health Care Providers & Services,30/06/2021,118.6635681,01/01/2014,302.5,32.45,1159.32,127.8
Fund II,Company 28,United States of America,Health Care Providers & Services,31/03/2021,129.865,01/01/2014,302.5,32.45,1156.92,124.92
Fund II,Company 28,United States of America,Health Care Providers & Services,31/12/2020,129.865,01/01/2014,302.5,32.45,1209.6,120.96
Fund II,Company 28,United States of America,Health Care Providers & Services,30/09/2020,125.02,01/01/2014,302.5,32.45,1204.8,120.48
Fund II,Company 28,United States of America,Health Care Providers & Services,30/09/2019,127.585,01/01/2014,302.5,32.45,1275.12,115.92
Fund II,Company 28,United States of America,Health Care Providers & Services,30/09/2018,118.18,01/01/2014,302.5,32.45,1195.32,103.92
Fund II,Company 29,United States of America,Health Care Providers & Services,30/09/2021,44.1346402,01/08/2015,235.84,27.17,1636.56,265.92
Fund II,Company 29,United States of America,Health Care Providers & Services,30/06/2021,33.92213165,01/08/2015,235.84,27.17,1636.56,265.92
Fund II,Company 29,United States of America,Health Care Providers & Services,31/03/2021,26.505,01/08/2015,235.84,27.17,1636.56,209.4
Fund II,Company 29,United States of America,Health Care Providers & Services,31/12/2020,19.76,01/08/2015,235.84,27.17,1636.56,155.88
Fund II,Company 29,United States of America,Health Care Providers & Services,30/09/2020,19,01/08/2015,235.84,27.17,573.96,72.72
Fund II,Company 29,United States of America,Health Care Providers & Services,30/09/2019,9.5,01/08/2015,235.84,27.17,573.96,72.72
Fund II,Company 29,United States of America,Health Care Providers & Services,30/09/2018,9.0231741,01/08/2015,235.84,27.17,573.96,72.72
Fund II,Company 30,United States of America,Health Care Providers & Services,31/12/2022,29.0840543,01/10/2018,346.5,17.05,614.52,40.92
Fund II,Company 30,United States of America,Health Care Providers & Services,30/09/2022,24.84116145,01/10/2018,346.5,17.05,542.76,36.24
Fund II,Company 30,United States of America,Health Care Providers & Services,30/06/2022,20.9471865,01/10/2018,346.5,17.05,475.68,31.68
Fund II,Company 30,United States of America,Health Care Providers & Services,31/03/2022,17.15873375,01/10/2018,346.5,17.05,416.52,27.72
Fund II,Company 30,United States of America,Health Care Providers & Services,31/12/2021,15.58024415,01/10/2018,346.5,17.05,395.04,26.28
Fund II,Company 30,United States of America,Health Care Providers & Services,30/09/2021,14.25,01/10/2018,346.5,17.05,373.2,24
Fund II,Company 30,United States of America,Health Care Providers & Services,30/06/2021,11.60233955,01/10/2018,346.5,17.05,330.12,21.96
Fund II,Company 30,United States of America,Health Care Providers & Services,31/03/2021,10.735,01/10/2018,346.5,17.05,320.16,21.12
Fund II,Company 30,United States of America,Health Care Providers & Services,31/12/2020,9.975,01/10/2018,346.5,17.05,310.44,20.4
Fund II,Company 30,United States of America,Health Care Providers & Services,30/09/2020,9.975,01/10/2018,346.5,17.05,307.68,20.64
Fund II,Company 30,United States of America,Health Care Providers & Services,30/09/2019,14.25,01/10/2018,346.5,17.05,383.76,18.36
Fund II,Company 31,United States of America,Health Care Providers & Services,31/12/2020,74.1,01/12/2015,187,19.36,450,54
Fund II,Company 31,United States of America,Health Care Providers & Services,30/09/2020,79.42,01/12/2015,187,19.36,403.56,51.72
Fund II,Company 31,United States of America,Health Care Providers & Services,30/09/2019,63.65,01/12/2015,187,19.36,346.2,35.88
Fund II,Company 31,United States of America,Health Care Providers & Services,30/09/2018,61.37,01/12/2015,187,19.36,316.68,32.64
Fund II,Company 32,United States of America,Professional Services,31/12/2022,47.9167707,01/12/2017,181.5,25.74,334.56,36.48
Fund II,Company 32,United States of America,Professional Services,30/09/2022,47.9167707,01/12/2017,181.5,25.74,336.24,34.2
Fund II,Company 32,United States of America,Professional Services,30/06/2022,47.8987568,01/12/2017,181.5,25.74,331.56,31.56
Fund II,Company 32,United States of America,Professional Services,31/03/2022,54.3213515,01/12/2017,181.5,25.74,355.68,32.64
Fund II,Company 32,United States of America,Professional Services,31/12/2021,54.3213515,01/12/2017,181.5,25.74,361.0068,34.5456
Fund II,Company 32,United States of America,Professional Services,30/09/2021,54.36526145,01/12/2017,181.5,25.74,438.36,40.32
Fund II,Company 32,United States of America,Professional Services,30/06/2021,54.36526145,01/12/2017,181.5,25.74,437.76,42.36
Fund II,Company 32,United States of America,Professional Services,31/03/2021,54.34,01/12/2017,181.5,25.74,437.28,44.4
Fund II,Company 32,United States of America,Professional Services,31/12/2020,54.34,01/12/2017,181.5,25.74,442.92,45.6
Fund II,Company 32,United States of America,Professional Services,30/09/2020,54.34,01/12/2017,181.5,25.74,445.68,45
Fund II,Company 32,United States of America,Professional Services,30/09/2019,49.97,01/12/2017,181.5,25.74,414.96,41.52
Fund II,Company 32,United States of America,Professional Services,30/09/2018,71.06,01/12/2017,181.5,25.74,273.84,32.16
Fund II,Company 33,United States of America,Health Care Providers & Services,31/12/2020,5.13,01/08/2014,130.9,13.53,115.92,9.24
Fund II,Company 33,United States of America,Health Care Providers & Services,30/09/2020,5.13,01/08/2014,130.9,13.53,101.16,11.16
